oTGF160104578, 473608303.609718, glg_tte_b0_160104518_v00, 4, 10, 19, 2016-01-04, 13:51:39.609718, 0.1410, 6.61E-23, 29.7564, -11.6781, 530.53, 0.657, NULL
oTGF160104948, 473640310.786000, glg_tte_b0_160104930_v00, 18, 27, 57, 2016-01-04, 22:45:06.786000, 1.0000, 8.46E-69, 108.5259, -4.5925, 534.08, 0.246, NULL
oTGF160105239, 473665462.459875, glg_tte_b0_160105229_v00, 8, 10, 38, 2016-01-05, 05:44:18.459874, 0.1000, 2.47E-74, 150.8736, -9.7843, 529.58, 0.655, NULL
oTGF160105638, 473699893.566255, glg_tte_b0_160105598_v00, 4, 6, 22, 2016-01-05, 15:18:09.566254, 0.1410, 2.19E-20, 14.7836, -5.0173, 529.37, 0.675, NULL
oTGF160106561, 473779688.365700, glg_tte_b0_160106558_v00, 23, 18, 61, 2016-01-06, 13:28:04.365700, 1.4000, 1.80E-35, 28.0434, -8.2695, 528.03, 0.635, NULL
oTGF160107483, 473859324.463725, glg_tte_b0_160107459_v00, 9, 7, 30, 2016-01-07, 11:35:20.463724, 0.1000, 9.97E-47, 32.3124, -15.1726, 528.12, 0.568, NULL
oTGF160109112, 474000117.968139, glg_tte_b0_160109091_v00, 4, 4, 13, 2016-01-09, 02:41:53.968140, 0.0707, 8.47E-19, 27.4186, -9.3928, 540.33, 0.184, NULL
oTGF160111700, 474223648.442043, glg_tte_b0_160111600_v00, 9, 7, 43, 2016-01-11, 16:47:24.442042, 0.0707, 8.87E-82, 213.8127, -25.1673, 541.31, 0.288, NULL
oTGF160113308, 474362627.990000, glg_tte_b0_160113268_v00, 28, 33, 224, 2016-01-13, 07:23:43.990000, 8.0000, 7.48E-73, 106.1998, 10.2271, 523.44, 0.597, tTGF160113308
oTGF160113433, 474373435.150600, glg_tte_b0_160113233_v00, 6, 13, 27, 2016-01-13, 10:23:51.150600, 0.2000, 8.21E-33, 25.1270, -6.1524, 527.11, 0.497, NULL
